Unnamed: 0,"Table 1.7 Occupational projections, 2022–32, and worker characteristics, 2022 (Numbers in thousands)",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Original Occupation,Best Match,Degree of Match,Score,index,OCC_CODE,OCC_TITLE
,      Bill and account collectors,True,Non skilled worker,Not Trade,Very Certain,OUT,,43-3011,Line item,209.7,189.6,-20.1,-9.6,2.3,19.2,44250,High school diploma or equivalent,,Moderate-term on-the-job training,      Bill and account collectors,Bill and Account Collectors,Similar Match,87.96296296296296,700,43-3011,Bill and Account Collectors
,      Gambling cage workers,False,,,,,,43-3041,Line item,12.2,11.5,-0.7,-5.4,0.8,1.1,36110,High school diploma or equivalent,,Short-term on-the-job training,      Gambling cage workers,Gambling Cage Workers,Similar Match,85.95238095238095,703,43-3041,Gambling Cage Workers
,      Billing and posting clerks,True,Non skilled worker,Not Trade,Very Certain,OUT,,43-3021,Line item,456.3,456.4,0.1,0,0.7,46.7,45590,High school diploma or equivalent,,Moderate-term on-the-job training,      Billing and posting clerks,Billing and Posting Clerks,Similar Match,87.6923076923077,701,43-3021,Billing and Posting Clerks
,"      Bookkeeping, accounting, and auditing clerks",True,Non skilled worker,Not Trade,Very Certain,OUT,,43-3031,Line item,1735.8,1627.5,-108.3,-6.2,4.1,183.9,47440,"Some college, no degree",,Moderate-term on-the-job training,"      Bookkeeping, accounting, and auditing clerks","Bookkeeping, Accounting, and Auditing Clerks",Similar Match,88.52272727272728,702,43-3031,"Bookkeeping, Accounting, and Auditing Clerks"
,      Tellers,False,,,,,,43-3071,Line item,364.1,311.1,-52.9,-14.5,0,29,37640,High school diploma or equivalent,,Short-term on-the-job training,      Tellers,Tellers,Similar Match,90.0,706,43-3071,Tellers
,"      Financial clerks, all other",False,,,,,,43-3099,Line item,43.7,44.2,0.5,1.1,1.5,4.5,49940,High school diploma or equivalent,,Short-term on-the-job training,"      Financial clerks, all other",Financial Managers,Similar Match,85.5,19,11-3031,Financial Managers
,    Information and record clerks,False,,,,,,43-4000,Summary,5871,5639.3,-231.7,-3.9,1,712.4,39030,—,—,—,    Information and record clerks,Information and Record Clerks,Similar Match,88.44827586206895,709,43-4000,Information and Record Clerks
,      Payroll and timekeeping clerks,True,Non skilled worker,Not Trade,Very Certain,OUT,,43-3051,Line item,165.4,138.3,-27.2,-16.4,0.8,12.5,52240,High school diploma or equivalent,,Moderate-term on-the-job training,      Payroll and timekeeping clerks,Payroll and Timekeeping Clerks,Similar Match,88.66666666666666,704,43-3051,Payroll and Timekeeping Clerks
,      Correspondence clerks,False,,,,,,43-4021,Line item,6,5.6,-0.4,-5.9,12.5,0.6,42120,High school diploma or equivalent,,Short-term on-the-job training,      Correspondence clerks,Correspondence Clerks,Similar Match,90.47619047619048,711,43-4021,Correspondence Clerks
,      Procurement clerks,True,Non skilled worker,Not Trade,Very Certain,OUT,,43-3061,Line item,65.3,60.4,-4.9,-7.6,—,5.4,46670,High school diploma or equivalent,,Moderate-term on-the-job training,      Procurement clerks,Procurement Clerks,Similar Match,89.72222222222221,705,43-3061,Procurement Clerks
,      Brokerage clerks,True,Non skilled worker,Not Trade,Very Certain,OUT,,43-4011,Line item,43.7,39.8,-3.9,-8.9,0.6,4.3,60150,High school diploma or equivalent,,Moderate-term on-the-job training,      Brokerage clerks,Brokerage Clerks,Similar Match,89.0625,710,43-4011,Brokerage Clerks
,      Customer service representatives,False,,,,,,43-4051,Line item,2982.9,2820.2,-162.7,-5.5,0.6,373.4,39680,High school diploma or equivalent,,Short-term on-the-job training,      Customer service representatives,Customer Service Representatives,Similar Match,89.0625,714,43-4051,Customer Service Representatives
,"      Credit authorizers, checkers, and clerks",True,Non skilled worker,Not Trade,Very Certain,OUT,,43-4041,Line item,16.4,15.5,-1,-5.8,—,1.2,48000,High school diploma or equivalent,,Moderate-term on-the-job training,"      Credit authorizers, checkers, and clerks","Credit Authorizers, Checkers, and Clerks",Similar Match,87.875,713,43-4041,"Credit Authorizers, Checkers, and Clerks"
,      File clerks,False,,,,,,43-4071,Line item,91.1,76.5,-14.6,-16,0.8,8.8,38130,High school diploma or equivalent,,Short-term on-the-job training,      File clerks,File Clerks,Similar Match,85.5,716,43-4071,File Clerks
,"      Hotel, motel, and resort desk clerks",False,,,,,,43-4081,Line item,257.7,251.1,-6.6,-2.6,0.4,39.8,30790,High school diploma or equivalent,,Short-term on-the-job training,"      Hotel, motel, and resort desk clerks","Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Similar Match,85.5,6,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers"
,"      Interviewers, except eligibility and loan",False,,,,,,43-4111,Line item,175.4,157.6,-17.7,-10.1,0.3,18.2,40300,High school diploma or equivalent,,Short-term on-the-job training,"      Interviewers, except eligibility and loan","Interviewers, Except Eligibility and Loan",Similar Match,88.04878048780488,718,43-4111,"Interviewers, Except Eligibility and Loan"
,"      Library assistants, clerical",False,,,,,,43-4121,Line item,82.9,78.2,-4.8,-5.8,0.8,13.5,34020,High school diploma or equivalent,,Short-term on-the-job training,"      Library assistants, clerical","Library Assistants, Clerical",Similar Match,88.21428571428571,719,43-4121,"Library Assistants, Clerical"
,      Loan interviewers and clerks,False,,,,,,43-4131,Line item,247.1,244.6,-2.5,-1,0.8,20,47380,High school diploma or equivalent,,Short-term on-the-job training,      Loan interviewers and clerks,Loan Interviewers and Clerks,Similar Match,88.21428571428571,720,43-4131,Loan Interviewers and Clerks
,"      Eligibility interviewers, government programs",True,Non skilled worker,Not Trade,Very Certain,OUT,,43-4061,Line item,157.5,161,3.5,2.2,—,14.1,50270,High school diploma or equivalent,,Moderate-term on-the-job training,"      Eligibility interviewers, government programs","Eligibility Interviewers, Government Programs",Similar Match,88.66666666666666,715,43-4061,"Eligibility Interviewers, Government Programs"
,      Order clerks,False,,,,,,43-4151,Line item,132.8,108.6,-24.2,-18.2,13.7,11.2,41600,"Some college, no degree",,Short-term on-the-job training,      Order clerks,Order Clerks,Similar Match,85.5,722,43-4151,Order Clerks
,      New accounts clerks,True,Non skilled worker,Not Trade,Very Certain,OUT,,43-4141,Line item,46.6,39.8,-6.7,-14.4,—,3.2,44630,High school diploma or equivalent,,Moderate-term on-the-job training,      New accounts clerks,New Accounts Clerks,Similar Match,85.0,721,43-4141,New Accounts Clerks
,      Receptionists and information clerks,False,,,,,,43-4171,Line item,1068.8,1072.7,3.9,0.4,1.3,142.6,35840,High school diploma or equivalent,,Short-term on-the-job training,      Receptionists and information clerks,Receptionists and Information Clerks,Similar Match,89.72222222222221,724,43-4171,Receptionists and Information Clerks
,      Reservation and transportation ticket agents and travel clerks,False,,,,,,43-4181,Line item,123,124.6,1.6,1.3,0.5,13.8,40610,High school diploma or equivalent,,Short-term on-the-job training,      Reservation and transportation ticket agents and travel clerks,Reservation and Transportation Ticket Agents and Travel Clerks,Similar Match,87.6923076923077,725,43-4181,Reservation and Transportation Ticket Agents and Travel Clerks
,"      Information and record clerks, all other",False,,,,,,43-4199,Line item,161.1,165.4,4.3,2.7,0.2,18.9,46210,High school diploma or equivalent,,Short-term on-the-job training,"      Information and record clerks, all other","Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Similar Match,85.5,6,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers"
,"    Material recording, scheduling, dispatching, and distributing workers",False,,,,,,43-5000,Summary,2467.9,2382.9,-84.9,-3.4,5.9,226,46590,—,—,—,"    Material recording, scheduling, dispatching, and distributing workers","Material Recording, Scheduling, Dispatching, and Distributing Workers",Similar Match,90.14084507042254,728,43-5000,"Material Recording, Scheduling, Dispatching, and Distributing Workers"
